iter	Passed	Remaining
0	153	153219
1	157	78770
2	159	53161
3	162	40366
4	164	32713
5	167	27732
6	169	24048
7	171	21281
8	175	19330
9	179	17734
10	180	16238
11	182	14989
12	183	13934
13	185	13048
14	186	12256
15	190	11738
16	192	11157
17	195	10656
18	196	10169
19	198	9719
20	199	9311
21	201	8940
22	204	8673
23	205	8372
24	207	8091
25	208	7823
26	210	7573
27	212	7369
28	213	7159
29	215	6965
30	220	6889
31	222	6729
32	224	6579
33	227	6454
34	228	6306
35	233	6252
36	239	6233
37	241	6109
38	243	6012
39	247	5942
40	256	6004
41	264	6030
42	268	5965
43	269	5865
44	271	5757
45	272	5659
46	276	5604
47	280	5558
48	282	5489
49	285	5419
50	288	5375
51	290	5295
52	292	5229
53	294	5155
54	296	5086
55	302	5097
56	307	5082
57	309	5018
58	310	4958
59	320	5014
60	321	4952
61	323	4896
62	325	4842
63	327	4786
64	332	4779
65	336	4760
66	338	4710
67	344	4726
68	346	4676
69	348	4625
70	349	4575
71	351	4524
72	352	4479
73	354	4435
74	358	4417
75	360	4387
76	363	4352
77	365	4320
78	367	4282
79	368	4243
80	371	4220
81	374	4193
82	375	4149
83	377	4114
84	378	4076
85	380	4041
86	381	4007
87	383	3974
88	389	3982
89	390	3952
90	393	3929
91	395	3905
92	397	3875
93	399	3846
94	402	3835
95	405	3819
96	407	3790
97	409	3766
98	410	3739
99	412	3710
100	413	3683
101	419	3692
102	421	3672
103	423	3648
104	425	3624
105	426	3600
106	428	3576
107	435	3594
108	437	3574
109	438	3550
110	440	3528
111	442	3506
112	444	3485
113	449	3490
114	451	3474
115	453	3456
116	454	3432
117	456	3412
118	457	3390
119	459	3369
120	462	3358
121	463	3338
122	465	3318
123	466	3297
124	468	3276
125	469	3257
126	471	3238
127	472	3220
128	477	3223
129	479	3209
130	482	3198
131	483	3181
132	486	3168
133	487	3151
134	489	3139
135	492	3131
136	495	3122
137	497	3106
138	498	3089
139	500	3076
140	502	3060
141	503	3043
142	508	3045
143	509	3031
144	511	3015
145	513	3002
146	515	2988
147	516	2976
148	520	2970
149	522	2963
150	524	2949
151	526	2938
152	528	2927
153	530	2911
154	531	2896
155	534	2890
156	537	2886
157	539	2877
158	542	2867
159	543	2854
160	544	2839
161	546	2825
162	549	2823
163	551	2811
164	552	2798
165	554	2784
166	555	2771
167	556	2758
168	558	2746
169	560	2735
170	569	2758
171	570	2747
172	572	2737
173	574	2727
174	575	2714
175	581	2721
176	582	2710
177	585	2702
178	586	2690
179	588	2681
180	590	2670
181	591	2660
182	595	2656
183	597	2650
184	599	2640
185	602	2634
186	604	2629
187	613	2649
188	615	2639
189	616	2629
190	619	2623
191	621	2614
192	625	2614
193	632	2628
194	634	2620
195	640	2626
196	643	2623
197	645	2614
198	647	2606
199	651	2604
200	654	2602
201	657	2598
202	667	2618
203	669	2612
204	671	2603
205	673	2597
206	677	2594
207	679	2587
208	682	2583
209	685	2578
210	687	2570
211	688	2560
212	695	2570
213	697	2563
214	699	2554
215	701	2547
216	703	2538
217	710	2549
218	714	2548
219	730	2590
220	736	2597
221	743	2605
222	748	2608
223	751	2602
224	756	2604
225	761	2608
226	763	2599
227	765	2591
228	767	2584
229	774	2592
230	776	2583
231	778	2577
232	781	2572
233	789	2584
234	791	2575
235	792	2565
236	794	2556
237	795	2547
238	796	2537
239	800	2535
240	803	2530
241	807	2528
242	810	2525
243	812	2517
244	815	2511
245	817	2505
246	818	2496
247	820	2487
248	821	2478
249	823	2469
250	824	2460
251	825	2451
252	833	2461
253	836	2456
254	838	2449
255	840	2441
256	841	2433
257	843	2425
258	847	2425
259	849	2416
260	850	2408
261	851	2399
262	852	2390
263	854	2381
264	855	2373
265	856	2364
266	858	2355
267	862	2356
268	865	2352
269	867	2344
270	868	2336
271	870	2329
272	871	2321
273	872	2312
274	876	2311
275	880	2308
276	881	2301
277	883	2293
278	884	2285
279	885	2277
280	887	2269
281	892	2271
282	894	2265
283	895	2258
284	898	2253
285	901	2249
286	902	2242
287	908	2245
288	910	2240
289	912	2232
290	913	2225
291	914	2218
292	916	2210
293	917	2203
294	933	2230
295	937	2228
296	941	2228
297	945	2228
298	947	2222
299	951	2221
300	959	2227
301	961	2222
302	963	2216
303	971	2224
304	975	2223
305	977	2216
306	979	2210
307	980	2203
308	987	2207
309	1005	2237
310	1007	2231
311	1009	2224
312	1010	2217
313	1012	2211
314	1020	2218
315	1022	2213
316	1025	2208
317	1028	2205
318	1037	2215
319	1044	2218
320	1068	2259
321	1070	2254
322	1074	2251
323	1075	2244
324	1077	2237
325	1084	2242
326	1090	2245
327	1092	2238
328	1100	2243
329	1101	2236
330	1103	2229
331	1104	2222
332	1105	2215
333	1107	2208
334	1113	2209
335	1115	2205
336	1121	2206
337	1123	2201
338	1129	2203
339	1133	2199
340	1135	2194
341	1137	2187
342	1138	2181
343	1145	2184
344	1148	2180
345	1151	2176
346	1153	2170
347	1155	2164
348	1159	2163
349	1162	2158
350	1163	2151
351	1165	2144
352	1166	2138
353	1167	2131
354	1174	2133
355	1177	2130
356	1181	2127
357	1183	2122
358	1188	2121
359	1191	2118
360	1193	2112
361	1194	2105
362	1196	2099
363	1197	2092
364	1199	2086
365	1207	2091
366	1210	2088
367	1213	2083
368	1220	2086
369	1222	2080
370	1223	2074
371	1224	2067
372	1226	2060
373	1227	2054
374	1228	2047
375	1230	2041
376	1235	2041
377	1237	2036
378	1239	2031
379	1240	2024
380	1242	2018
381	1243	2012
382	1245	2006
383	1250	2006
384	1252	2000
385	1253	1994
386	1255	1988
387	1256	1982
388	1257	1975
389	1259	1969
390	1260	1963
391	1263	1959
392	1265	1954
393	1267	1949
394	1269	1943
395	1270	1938
396	1272	1932
397	1273	1926
398	1275	1921
399	1279	1919
400	1283	1916
401	1284	1911
402	1286	1905
403	1288	1900
404	1289	1894
405	1292	1891
406	1296	1888
407	1299	1885
408	1301	1881
409	1303	1875
410	1305	1870
411	1311	1872
412	1313	1867
413	1315	1861
414	1316	1856
415	1318	1851
416	1321	1846
417	1326	1847
418	1328	1842
419	1330	1837
420	1332	1832
421	1333	1826
422	1335	1821
423	1339	1820
424	1342	1815
425	1344	1811
426	1346	1806
427	1348	1801
428	1350	1796
429	1357	1799
430	1360	1796
431	1363	1792
432	1364	1787
433	1366	1782
434	1373	1784
435	1375	1778
436	1376	1773
437	1378	1768
438	1379	1763
439	1382	1759
440	1394	1767
441	1397	1764
442	1403	1764
443	1405	1760
444	1407	1755
445	1409	1750
446	1411	1745
447	1413	1741
448	1416	1737
449	1418	1733
450	1420	1728
451	1421	1723
452	1423	1719
453	1425	1714
454	1426	1708
455	1428	1704
456	1433	1702
457	1434	1697
458	1436	1692
459	1437	1687
460	1438	1682
461	1440	1677
462	1441	1672
463	1444	1668
464	1447	1665
465	1449	1661
466	1451	1656
467	1453	1651
468	1455	1647
469	1457	1643
470	1464	1644
471	1465	1639
472	1467	1634
473	1468	1629
474	1469	1624
475	1471	1619
476	1472	1614
477	1476	1612
478	1479	1609
479	1482	1605
480	1484	1602
481	1490	1601
482	1493	1598
483	1495	1594
484	1496	1589
485	1498	1584
486	1499	1579
487	1500	1574
488	1501	1569
489	1506	1567
490	1508	1563
491	1509	1558
492	1511	1554
493	1512	1549
494	1514	1545
495	1515	1540
496	1517	1535
497	1521	1534
498	1523	1529
499	1524	1524
500	1526	1520
501	1527	1515
502	1528	1510
503	1530	1506
504	1531	1501
505	1536	1500
506	1538	1496
507	1540	1491
508	1541	1487
509	1543	1482
510	1544	1478
511	1546	1473
512	1551	1472
513	1552	1468
514	1554	1463
515	1555	1459
516	1556	1454
517	1558	1449
518	1559	1445
519	1560	1440
520	1566	1439
521	1568	1436
522	1571	1433
523	1573	1429
524	1576	1425
525	1582	1425
526	1583	1421
527	1585	1417
528	1586	1412
529	1588	1408
530	1589	1403
531	1591	1399
532	1592	1395
533	1595	1391
534	1596	1387
535	1598	1383
536	1600	1379
537	1601	1375
538	1602	1370
539	1604	1366
540	1606	1362
541	1610	1360
542	1611	1356
543	1613	1352
544	1614	1348
545	1616	1343
546	1617	1339
547	1619	1335
548	1624	1334
549	1626	1330
550	1628	1326
551	1629	1322
